name,njss_count,top_url,domain,platform_n,bid_url,sample_url,fetched_at,prefecture,category,is_new
熊本市役所,1111158,,,0,,https://www2.njss.info/organizations/proc/1745,2026-08-02,熊本県,地方公共団体,0
岩手県庁,806677,,,0,,https://www2.njss.info/organizations/proc/1636,2026-08-02,岩手県,地方公共団体,0
茨城県庁,738143,,,0,,https://www2.njss.info/organizations/proc/1638,2026-08-02,茨城県,地方公共団体,0
秋田県庁,593739,,,0,,https://www2.njss.info/organizations/proc/1688,2026-08-02,秋田県,地方公共団体,0
東京都庁,586219,,,0,,https://www2.njss.info/organizations/proc/1682,2026-08-02,東京都,地方公共団体,0
和歌山県庁,549058,,,0,,https://www2.njss.info/organizations/proc/1693,2026-08-02,和歌山県,地方公共団体,0
愛知県庁,356329,,,0,,https://www2.njss.info/organizations/proc/1579,2026-08-02,愛知県,地方公共団体,0
岐阜県庁,329725,,,0,,https://www2.njss.info/organizations/proc/1580,2026-08-02,岐阜県,地方公共団体,0
官報,328123,,,0,,https://www2.njss.info/organizations/proc/1572,2026-08-02,東京都,国・省庁,0
神奈川県庁,314186,,,0,,https://www2.njss.info/organizations/proc/1458,2026-08-02,神奈川県,地方公共団体,0
岡山県庁,265390,,,0,,https://www2.njss.info/organizations/proc/1584,2026-08-02,岡山県,地方公共団体,0
京都市役所,234020,,,0,,https://www2.njss.info/organizations/proc/1668,2026-08-02,京都府,地方公共団体,0
大阪市役所,226203,,,0,,https://www2.njss.info/organizations/proc/1658,2026-08-02,大阪府,地方公共団体,0
横浜市役所,221672,,,0,,https://www2.njss.info/organizations/proc/1657,2026-08-02,神奈川県,地方公共団体,0
高知県庁,218257,,,0,,https://www2.njss.info/organizations/proc/1698,2026-08-02,高知県,地方公共団体,0
埼玉県庁,196911,,,0,,https://www2.njss.info/organizations/proc/1683,2026-08-02,埼玉県,地方公共団体,0
文部科学省(MEXT),195605,,,0,,https://www2.njss.info/organizations/proc/267,2026-08-02,東京都,国・省庁,0
北海道庁,191565,,,0,,https://www2.njss.info/organizations/proc/1686,2026-08-02,北海道,地方公共団体,0
千葉県庁,181100,,,0,,https://www2.njss.info/organizations/proc/1640,2026-08-02,千葉県,地方公共団体,0
日本放送協会(NHK),175829,,,0,,https://www2.njss.info/organizations/proc/1298,2026-08-02,東京都,国・省庁,0
宮崎県庁,168949,,,0,,https://www2.njss.info/organizations/proc/1644,2026-08-02,宮崎県,地方公共団体,0
宮城県庁,167105,,,0,,https://www2.njss.info/organizations/proc/1687,2026-08-02,宮城県,地方公共団体,0
静岡県庁,162278,,,0,,https://www2.njss.info/organizations/proc/1581,2026-08-02,静岡県,地方公共団体,0
三重県庁,160239,,,0,,https://www2.njss.info/organizations/proc/1582,2026-08-02,三重県,地方公共団体,0
香川県庁,155745,,,0,,https://www2.njss.info/organizations/proc/1696,2026-08-02,香川県,地方公共団体,0
防衛省(MOD) 防衛装備庁,154241,,,0,,https://www2.njss.info/organizations/proc/26,2026-08-02,東京都,国・省庁,0
名古屋市役所,151421,,,0,,https://www2.njss.info/organizations/proc/1707,2026-08-02,愛知県,地方公共団体,0
国土交通省(MLIT),148680,,,0,,https://www2.njss.info/organizations/proc/1105,2026-08-02,東京都,国・省庁,0
福岡県庁,147710,,,0,,https://www2.njss.info/organizations/proc/1699,2026-08-02,福岡県,地方公共団体,0
熊本県庁,142174,,,0,,https://www2.njss.info/organizations/proc/1702,2026-08-02,熊本県,地方公共団体,0
長野県庁,135948,,,0,,https://www2.njss.info/organizations/proc/1576,2026-08-02,長野県,地方公共団体,0
呉市役所,133214,,,0,,https://www2.njss.info/organizations/proc/1772,2026-08-02,広島県,地方公共団体,0
滋賀県庁,130415,,,0,,https://www2.njss.info/organizations/proc/1692,2026-08-02,滋賀県,地方公共団体,0
豊橋市役所,130142,,,0,,https://www2.njss.info/organizations/proc/1728,2026-08-02,愛知県,地方公共団体,0
福井県庁,129773,,,0,,https://www2.njss.info/organizations/proc/1578,2026-08-02,福井県,地方公共団体,0
大阪府庁,129053,,,0,,https://www2.njss.info/organizations/proc/1690,2026-08-02,大阪府,地方公共団体,0
大阪市役所 教育委員会,126599,,,0,,https://www2.njss.info/organizations/proc/1837,2026-08-02,大阪府,地方公共団体,0
防衛省(MOD) 陸上自衛隊 東部方面隊 東部方面会計隊,124515,,,0,,https://www2.njss.info/organizations/proc/17,2026-08-02,東京都,国・省庁,0
堺市役所,122538,,,0,,https://www2.njss.info/organizations/proc/1708,2026-08-02,大阪府,地方公共団体,0
山口県庁,118820,,,0,,https://www2.njss.info/organizations/proc/1642,2026-08-02,山口県,地方公共団体,0
さいたま市役所,113410,,,0,,https://www2.njss.info/organizations/proc/1653,2026-08-02,埼玉県,地方公共団体,0
東広島市役所,112718,,,0,,https://www2.njss.info/organizations/proc/4679,2026-08-02,広島県,地方公共団体,0
新潟県庁,112283,,,0,,https://www2.njss.info/organizations/proc/1677,2026-08-02,新潟県,地方公共団体,0
石川県庁,111539,,,0,,https://www2.njss.info/organizations/proc/1577,2026-08-02,石川県,地方公共団体,0
川崎市役所,111160,,,0,,https://www2.njss.info/organizations/proc/1654,2026-08-02,神奈川県,地方公共団体,0
岡山市役所,110827,,,0,,https://www2.njss.info/organizations/proc/1709,2026-08-02,岡山県,地方公共団体,0
法務省(MOJ),109628,,,0,,https://www2.njss.info/organizations/proc/200,2026-08-02,東京都,国・省庁,0
柏市役所,102504,,,0,,https://www2.njss.info/organizations/proc/1661,2026-08-02,千葉県,地方公共団体,0
大分県庁,99789,,,0,,https://www2.njss.info/organizations/proc/1643,2026-08-02,大分県,地方公共団体,0
防衛省(MOD) 航空自衛隊 第2補給処,96001,,,0,,https://www2.njss.info/organizations/proc/55,2026-08-02,岐阜県,国・省庁,0
長野市役所,94201,,,0,,https://www2.njss.info/organizations/proc/1726,2026-08-02,長野県,地方公共団体,0
日本原子力研究開発機構(JAEA),91323,,,0,,https://www2.njss.info/organizations/proc/220,2026-08-02,茨城県,国・省庁,0
愛媛県庁,90289,,,0,,https://www2.njss.info/organizations/proc/1697,2026-08-02,愛媛県,地方公共団体,0
福山市役所,89007,,,0,,https://www2.njss.info/organizations/proc/1739,2026-08-02,広島県,地方公共団体,0
広島市役所,88719,,,0,,https://www2.njss.info/organizations/proc/1710,2026-08-02,広島県,地方公共団体,0
鹿児島県庁,86151,,,0,,https://www2.njss.info/organizations/proc/1703,2026-08-02,鹿児島県,地方公共団体,0
京都府庁,86044,,,0,,https://www2.njss.info/organizations/proc/1691,2026-08-02,京都府,地方公共団体,0
群馬県庁,85831,,,0,,https://www2.njss.info/organizations/proc/1689,2026-08-02,群馬県,地方公共団体,0
福岡市役所,84296,,,0,,https://www2.njss.info/organizations/proc/1712,2026-08-02,福岡県,地方公共団体,0
栃木県庁,83564,,,0,,https://www2.njss.info/organizations/proc/1639,2026-08-02,栃木県,地方公共団体,0
沖縄県庁,81783,,,0,,https://www2.njss.info/organizations/proc/1645,2026-08-02,沖縄県,地方公共団体,0
下関市役所,79667,,,0,,https://www2.njss.info/organizations/proc/1740,2026-08-02,山口県,地方公共団体,0
日本郵政グループ〈郵便局/日本郵便/ゆうちょ銀行/かんぽ生命〉,78428,,,0,,https://www2.njss.info/organizations/proc/382,2026-08-02,東京都,国・省庁,0
国土交通省(MLIT) 九州地方整備局,76372,,,0,,https://www2.njss.info/organizations/proc/505,2026-08-02,福岡県,国・省庁,0
防衛省(MOD) 陸上自衛隊 中部方面隊 中部方面会計隊,75664,,,0,,https://www2.njss.info/organizations/proc/22,2026-08-02,兵庫県,国・省庁,0
富山県庁,74921,,,0,,https://www2.njss.info/organizations/proc/1679,2026-08-02,富山県,地方公共団体,0
鳥取県庁,73588,,,0,,https://www2.njss.info/organizations/proc/1694,2026-08-02,鳥取県,地方公共団体,0
広島県庁,73571,,,0,,https://www2.njss.info/organizations/proc/1585,2026-08-02,広島県,地方公共団体,0
山梨県庁,73370,,,0,,https://www2.njss.info/organizations/proc/1678,2026-08-02,山梨県,地方公共団体,0
青森市役所,72037,,,0,,https://www2.njss.info/organizations/proc/1715,2026-08-02,青森県,地方公共団体,0
奈良県庁,71553,,,0,,https://www2.njss.info/organizations/proc/1641,2026-08-02,奈良県,地方公共団体,0
国土交通省(MLIT) 関東地方整備局,71035,,,0,,https://www2.njss.info/organizations/proc/504,2026-08-02,埼玉県,国・省庁,0
岐阜市役所,70821,,,0,,https://www2.njss.info/organizations/proc/1727,2026-08-02,岐阜県,地方公共団体,0
